job_title,job_description,requirements,benefits
[quảng nam - tp. hội an] nhân viên hỗ trợ thanh toán tại địa bàn,liên hệ trực tiếp với khách hàng trong khu vực được phân công để hướng dẫn thanh toán các khoản phí; hỗ trợ giải đáp thắc mắc có liên quan đến quá trình thanh toán của khách hàng; kiểm tra và gửi yêu cầu hỗ trợ những trường hợp đặt biệt khi nhận được thông tin của khách hàng; các công việc khác theo sự phân công của quản lý trực tiếp.,trình độ học vấn: tốt nghiệp ptth trở lên kinh nghiệm: có kinh nghiệm thu nợ là một lợi thế kỹ năng - kỹ năng giao tiếp - kỹ năng đàm phán - kỹ năng thuyết phục - kỹ năng vi tính văn phòng trình độ học vấn: tốt nghiệp trung học phổ thông trở lên. kỹ năng: kỹ năng giao tiếp; kỹ năng đàm phán; kỹ năng thuyết phục; kỹ năng vi tính văn phòng.,"lương tháng 13, thưởng theo thâm niên; ký hợp đồng lao động chính thức sau 2 tháng thử việc; chế độ bảo hiểm xã hội, bảo hiểm thất nghiệp, bảo hiểm y tế theo quy định nhà nước.; bảo hiểm tai nạn 24/24; khám sức khỏe định kỳ; nghỉ 15 ngày phép/năm; các hoạt động teambuilding hàng năm, các khóa đào tạo phát triển."
kế toán nội bộ - quận 4,"thu thập, xử lý thông tin, số liệu kế toán và các chứng từ kế toán thông qua các nghiệp vụ kinh tế phát sinh. - theo dõi và quản lý công nợ qua báo cáo của kế toán công nợ. đôn đốc thu hồi công nợ khách hàng - theo dõi và tính toán giá thành sản xuất thực tế theo từng sản phẩm. - kiểm tra và giám sát việc luân chuyển hàng tồn kho - tính lương cho cán bộ, công nhân viên và các khoản trích theo lương. - tính và trích chi phí khấu hao tscđ. hạch toán khoản trích khấu hao đó. - theo dõi và lập báo cáo nội bộ. - làm các công việc hướng dẫn bới kế toán trưởng","độ tuổi: dưới 29 tuổi - có kinh nghiệm làm việc công ty bán buôn bán lẻ - có kỹ năng giao tiếp với khách hàng, đồng nghiệp, đối tác. - có kinh nghiệm về bán hàng, kiểm tra hồ sơ chứng từ mua bán - tính cách: cẩn thận, chịu khó, có tinh thần học hỏi - tiếng anh cơ bản","mức thu nhập net: 8 triệu + hoa hồng - đầy đủ chế độ bảo hiểm theo quy định bhxh, bhyt, bhtn... - chế độ khen thưởng và phúc lợi: lễ, tết, lương tháng 13 - môi trường làm việc năng động - được hưởng chế độ nghỉ phép năm (12 ngày phép/năm) - chế độ xem xét tăng lương mỗi năm một lần - hoa hồng hưởng theo doanh số công ty (kế toán không đi sale)"
nhân viên phòng kỹ thuật,"theo dõi sản xuất: kiểm tra men mặt, men lót, thử mẫu, theo dõi đổi mẫu. thử nghiệm nguyên liệu, công thức mới.","tốt nghiệp trung cấp trở lên các ngành hóa. ưu tiên ứng viên có kinh nghiệm làm gạch men, gốm sứ.","được nâng lương hàng năm. được thưởng lương tháng 13. được khám sức khỏe, khám bênh nghề nghiệp theo vị trí công việc được giao. được hưởng cách chế độ về ma chay, hiếu hỉ theo thảo ước lao động tập thể. được bồi dưỡng ca đêm. các chế độ khác heo quy định chung của công ty. chi tiết trao đổi ở buổi phỏng vấn."
nhân viên kế hoạch phát triển sản phẩm,"nhiệm vụ 1: tham gia cùng quản lý đề xuất sản phẩm mới (30%) trong đó: 20% cập nhật xu hướng sản phẩm gia dụng thị trường trung quốc, đánh giá tính phù hợp của sản phẩm ở thị trường việt nam và phù hợp định hướng của công ty, đề xuất phát triển sản phẩm mới 80% tiếp nhận sản phẩm mới đề xuất từ quản lý, tham gia đánh giá và đề xuất bao gồm: - thu thập ý kiến phản hồi về chất lượng sản phẩm - phối hợp thu mua nhập khẩu tìm mẫu thực tế, quản lý hàng mẫu mua về - phối hợp bộ phận liên quan ước tính giá vốn sản phẩm, đánh giá tính phù hợp, tiềm năng thị trường và tính khả thi của sản phẩm, đưa ra ý kiến đề xuất nhiệm vụ 2: lập kế hoạch hoàn chỉnh theo dõi tiến độ phát triển sản phẩm (50%) sau khi chốt triển khai sản xuất sản phẩm mới, tiến hành lập kế hoạch các bước, timeline, bộ phận phụ trách, deadline…. từ khâu lên bản vẽ thiết kế, sản xuất khuôn, nguyên vật liệu, thử mẫu đầu, bao bì, …. · làm việc các bộ phận liên quan để lập kế hoạch timeline hoàn chỉnh · theo dõi, đốc thúc các bộ phận liên quan thực hiện đúng tiến độ, báo cáo cho quản lý · phối hợp điều chỉnh, xử lý các vấn đề phát sinh để đảm bảo tiến độ: góp ý thiết kế mẫu mã, chất lượng sản phẩm, thông tin trên bao bì, ấn phẩm của sản phẩm mới … nhiệm vụ 3: hoàn tất hồ sơ để đưa vào sản xuất hàng loạt (10%) · lập hồ sơ tiêu chuẩn, quy trình và văn bản liên quan · thực hiện các thủ tục kiểm định và test chứng nhận liên quan đến sản phẩm. · tạo mã code và quản lý danh mục mã code. nhiệm vụ 4: các công việc phát sinh theo sự sắp xếp của quản lý (10%)","tốt nghiệp cao đẳng trở lên các ngành khối kinh tế - kỹ năng tìm kiếm sản phẩm, phân tích, lập kế hoạch, báo cáo - ưu tiên từ 1 năm kinh nghiệm ở vị trí tương đương, nếu chưa có kinh nghiệm thì cần có tư duy, kiến thức nền tảng - tuổi từ 22-35 - tư duy sáng tạo, tinh thần trách nhiệm cao, cập nhật xu hướng thị trường","time làm việc 8:00 - 17:00 - đóng bhxh ngay khi ký hợp đồng chính thức, mỗi tháng 1 ngày phép năm, nghỉ lễ tết theo quy định hiện hành - khám sức khỏe định kỳ hàng năm, teambuilding hàng năm - mỗi năm xét tăng lương 1 lần - cơ hội thăng cấp sau 6 tháng nếu đạt kết quả làm việc tốt"
senior ads operations executive,"we are looking for a senior ads operations or expert to join our team in hanoi, vietnam. this person will handle setting up new digital campaigns, monitor & report campaigns’ performance. respond to optimize & maximize campaign’s performance. in this position, you collaborate with internal teams from several areas, such as marketing, social and creative, to enhance the complete customer experience. job responsibilities & duties: assist in troubleshooting technical issues analyze data and prepare insightful reports evaluate the effectiveness of campaigns in order to inform future campaigns support with other ad operations tasks when required actively monitor campaign kpis via platform’s dashboard and reporting responsible for campaign set- up, optimization and ensure that the campaigns deliver and meet the kpis across digital advertising platforms (google ads, facebook, dv360, apm, native, linkedin…). check if campaign pixels are implemented correctly on client websites","proactive and willing to learn at least 2- 4 years of working experience as ad operations in well recognized company/ corporation detailed- oriented, well organized with a good sense of responsibility possess logical reasoning skills with numerical ability excellent teamwork and ability to adapt good command of english good knowledge in display, video, social and search advertising (sem, display network, video network, facebook, tag management, etc) a bachelor’s degree from a recognized university knowledge in analytics tools (google analytics) & measurement tools (campaign manager, sizmek, appsflyer) would be a plus experience in google ads, facebook ads","chế độ bảo hiểm, du lịch, đồng phục, chế độ thưởng, chăm sóc sức khỏe, đào tạo, tăng lương, nghỉ phép năm"
trợ lý tư vấn du học - telesales,"hỗ trợ tư vấn và chăm sóc các khách hàng quan tâm (được đào tạo) biên – phiên dịch hoàn thiện hồ sơ nhập học và thị thực (được đào tạo) tổ chức, tham gia và thực hiện các hoạt động quảng bá; sự kiện tuyển sinh và chăm sóc khách hàng trước, trong và sau khi sử dụng dịch vụ những nhiệm vụ khác theo sự phân công của quản lý","tốt nghiệp cao đẳng, ưu tiên khối ngành tiếng anh hoặc có bằng cấp và kinh nghiệm tương đương nhiệt tình, cẩn thận, yêu thích công việc tư vấn du học, chăm sóc khách hàng, hướng nghiệp ngoại hình chuyên nghiệp, có kỹ năng giao tiếp, làm việc nhóm, đàm phán và thuyết trình nhanh nhẹn, tư duy sắc sảo, có khả năng phân tích và đánh giá tốt kỹ năng sắp xếp hồ sơ khoa học, rõ ràng và thời gian biểu hợp lý sức khoẻ tốt, thích du lịch và trải nghiệm, có thể đi công tác trong và ngoài nước khi được yêu cầu sử dụng thành thạo máy vi tính, mạng xã hội, khả năng tìm kiếm thông tin, thích đọc và nghiên cứu","làm việc trong môi trường năng động, thân thiện và chuyên nghiệp được đào tạo thường xuyên để nâng cao chuyên môn và kỹ năng thời gian làm việc: 7,5 giờ/ngày, 5ngày/tuần. tăng lương định kỳ theo quy chế công ty được hưởng đầy đủ quyền lợi theo đúng quy định luật lao động (bhxh, nghỉ lễ tết…) và các chế độ phúc lợi khác như nghỉ mát trong hoặc ngoài nước, thưởng lễ tết, khám sức khỏe và tiêm chủng hàng năm được chủ động lên kế hoạch, nêu lên ý tưởng và sáng tạo thực hiện miễn mang lại hiệu quả cho công việc"
iot staff (lập trình iot),"good skill circuit drawing (orcad, altium, proteus, ...). - understanding architecture of mcu : pic, atmel, stm, arduino kit... - proficient in c and c++ programming for mcu ( pic, atmel, stm, arduino kit...). - code good programming by arduino ide. - have good programming algorithm thinking. - know the skills of iot programming. - job location: 2a street no 8, song than 1 ip, di an, binh duong",graduate degree in any of the follow majors: + electrical engineering + electronics + automation. + electronics and telecommunications. + information technology. - ability to communicate in english - both written and verbal - 1-2 years of experience of working with similar positions,"salary: 10 ~15mil - annual leave 12 days, annual trip - bonus: 1.5 monthly basic salary / year on liberation day ( april 30th ) , independence day (september 02nd ) and lunar new year - paid insurance fully under labor law - year end party - annual company trip - regular internal activities - others subsidy: according to company regulations and labor law - participate in internal training courses - opportunities to promote to higher positions. - top management are open-minded, respectful and ready to facilitate personal growth - young and dynamic working environment - scope of work is large"
nhân viên giao hàng tại hà nội,"sáng đến kho nhận hàng rồi đi giao cho khách. hàng chủ yếu là hàng từ các shop online (quần áo, mỹ phẩm, giày dép...) - lấy hàng tại tuyến được phân công sẵn. chạy theo tuyến cố định các phường : tây mỗ, xuân phương, phương canh, mỹ đình, phú đô. - chịu trách nhiệm về hàng hóa từ khi nhận đến khi bàn giao cho khách hàng/bưu cục chuyển; - thời gian làm việc từ 7h00 - 17h thời gian làm việc linh hoạt","có xe gắn máy và điện thoại hệ điều hành android - nam/nữ 18 - 40 tuổi - bằng cấp không yêu cầu, không tiền án tiền sự - chưa có kinh nghiệm sẽ đc đào tạo - hồ sơ yêu cầu bắt buộc phải có căn cước công dân bản cứng và vneid định danh mức 2 ứng tuyển qua email hoặc liên hệ số điện thoại anh hiệu 0971863443","thu nhập từ 15-30 triệu/tháng có thể cao hơn tuỳ theo năng lực - bảo hiểm tai nạn trong giờ làm việc lên đến 50 triệu. - hưởng bhxh theo luật định khi đủ thâm niên làm việc. 142 hồng đô, phường phú đô, quận nam từ liêm, hà nội"
chuyên viên quan hệ khách hàng cá nhân / doanh nghiệp tại hà nội,"kế hoạch kinh doanh: – thực hiện kế hoạch kinh doanh của bộ phận. – tìm kiếm, khai thác khách hàng. cung cấp dịch vụ; – thực hiện cung cấp các sản phẩm tín dụng, huy động; dịch vụ thẻ, thanh toán quốc tế... của ngân hàng tới đối tượng khách hàng nhanh chóng, chính xác, an toàn với chất lượng phục vụ tận tình, chu đáo. thẩm định tín dụng: – xác minh, thẩm định các hồ sơ vay, bảo lãnh; đề xuất ý kiến về cấp phát tín dụng, gia hạn và bảo lãnh.","kiến thức: – trình độ: tốt nghiệp cao đẳng trở lên. – chuyên ngành: kinh tế, quản trị kinh doanh, tài chính, ngân hàng... – ngoại ngữ: chứng chỉ tiếng anh trình độ b trở lên. – vi tính: sử dụng thành thạo tin học văn phòng. – có khả năng tạo dựng và phát triển các mối quan hệ phục vụ hoạt động kinh doanh. độ tuổi, giới tính, sức khỏe, lý lịch: – giới tính: nam/nữ. – độ tuổi: không quá 35 tuổi. – sức khỏe tốt, ngoại hình cân đối. – có lý lịch rõ ràng, đạo đức tốt kinh nghiệm: – ít nhất 01 năm kinh nghiệm làm việc trong lĩnh vực tín dụng, kinh doanh, bán hàng trực tiếp trong lĩnh vực tài chính ngân hàng. ưu tiên ứng viên ở vị trí tương đương các ngân hàng khác, kết quả làm việc tốt, không vi phạm kỷ luật. – am hiểu tình hình kinh tế, xã hội của địa bàn được phân công.","được tham dự các lớp đào tạo nhà quản lý chuyên nghiệp để phát triển nghề nghiệp; chế độ phép năm, lễ, tết, bảo hiểm theo quy định pháp luật, bảo hiểm chăm sóc sức khỏe theo quy định của kienlongbank; được hỗ trợ chi phí xăng xe, tiền điện thoại, chế độ công tác,... được thưởng theo kết quả thu hồi nợ, hiệu quả kinh doanh, các khoản chi bổ sung theo kết quả hoạt động của đơn vị và kết quả công việc của cá nhân; thưởng tháng 13, các khoản thưởng năm, lễ, tết theo tình hình thực tế của ngân hàng."
nhân viên kỹ thuật bê tông,"thực hiện nghiên cứu ứng dụng nguyên vật liệu mới. cải tiến thiết kế định mức cấp phối bê tông mới, các quy định hướng dẫn sản xuất, hướng dẫn vận hành. thực hiện theo dõi tổng hợp báo cáo công tác thí nghiệm. thực hiện theo dõi và hướng dẫn công nhân thí nghiệm hàng ngày. yêu cầu công việc: nam, tốt nghiệp cao đẳng trở lên ngành kỹ thuật xây dựng, kinh tế xây dựng, xây dựng giao thông- cầu đường, các ngành liên quan. khả năng đàm phán, thuyết phục khách hàng. làm việc tại xí nghiệp cống bê tông (kp cây chàm, p. thạnh phước, tp. tân uyên)","nam, tốt nghiệp cao đẳng trở lên ngành kỹ thuật xây dựng, kinh tế xây dựng, xây dựng giao thông- cầu đường, các ngành liên quan.","tham gia bhxh, bhyt, bhtn- bh con người thưởng các dịp lễ tết, thưởng quý nghỉ mát hàng năm nghỉ hường lương ngày sinh nhật, thăm hỏi hiếu hỉ"
