job_title,job_description,requirements,benefits
vận hành khoá học & hỗ trợ khách hàng,"chuẩn bị và tổ chức các khóa đào tạo dành cho doanh nghiệp và cá nhân (online + offline) thực hiện các công việc sau đào tạo như báo cáo khóa học, tổng kết &amp; hỗ trợ khách hàng sau khóa học... đóng góp các ý kiến để cải tiến trải nghiệm khóa học hỗ trợ các team khác theo yêu cầu và hướng dẫn từ team lead có cơ hội được đào tạo trở thành nhân viên tư vấn khách hàng hoặc hỗ trợ dự án nếu đủ năng lực và có mong muốn thiết kế các khoá đào tạo e-learning yêu cầu công việc: không bắt buộc có kinh nghiệm, ưu tiên những ứng viên đã từng làm các vị trí liên quan đến vận hành, thiết kế e-learning. sẵn sàng học hỏi và có khả năng bao quát công việc, chịu được áp lực. chủ động, cầu thị, ham học hỏi, chịu được áp lực, tiêu chuẩn chất lượng cao trong mọi việc. có tư duy hướng đến con người tinh thần ""phải làm được"" (“can do”) với tư duy luôn tìm giải pháp để giải quyết vấn đề có tinh thần trách nhiệm cao, chịu trách nhiệm tới cùng đối với công việc ứng viên có tiếng anh là 1 lợi thế có khả năng thích ứng nhanh với công nghệ","không bắt buộc có kinh nghiệm, ưu tiên những ứng viên đã từng làm các vị trí liên quan đến vận hành, thiết kế e-learning.","mức lương thỏa thuận và cạnh tranh dựa trên năng lực được tham gia các hoạt động teambuilding hàng quý, nghỉ mát hàng năm, sinh nhật, tiệc cuối năm… được review lương hàng năm dựa trên performence và năng lực lương tháng 13, nghỉ phép 12ngay/năm và tăng theo thâm niên. được đóng bhxh, bhyt theo quy định của nhà nước. được làm việc thường xuyên với các đối tác, khách hàng và chuyên gia thuộc cấp c-level và manager của các doanh nghiệp được tham gia các chương trình đào tạo miễn phí của công ty có nhiều cơ hội phát triển bản thân, thỏa sức sáng tạo và thể hiện năng lực, được làm việc với các chuyên gia đầu ngành trong môi trường làm việc thân thiện, trẻ, năng động, nhiệt huyết. được đào tạo nội bộ, kết nối, học hỏi và làm việc về trải nghiệm khách hàng tại công ty dẫn đầu trong lĩnh vực tư vấn - đào tạo quản trị trải nghiệm"
nhân viên thiết kế,"triển khai thiết kế theo sự phân công của trưởng bộ phận quản lý; - hỗ trợ lãnh đạo cấp trên trong việc điều hành, quản lý công việc triển khai thiết kế theo từng dự án. - triển khai bản vẽ kỹ thuật thi công. - vẽ phối cảnh – thiết kế ý tưởng. - các công việc của kiến trúc sư về thiết kế nội, ngoại thất, phối cảnh 3d. - tiếp nhận hồ sơ từ các bộ phận kinh doanh, thi công để khai triển bản vẽ kiến trúc, bản vẽ kỹ thuật thi công - tư vấn thiết kế cho khách hàng; chăm sóc khách hàng - công việc khác trao đổi trực tiếp khi đến phỏng vấn.","tốt nghiệp đại học chuyên ngành kiến trúc - sử dụng thành thạo phần mềm cơ bản ( autocad, 3dsmax, photoshop, sketchup, … ) - có trách nhiệm đam mê với công việc - biết sử dụng phần mềm revit, sketchup, autocad, thành thạo photoshop,... - có trách nhiệm trong công việc, năng động, nhiệt tình","mức lương lên đến 30.000.000vnđ (thỏa thuận, không giới hạn theo năng lực/ kinh nghiệm) - thu nhập (gồm lương cơ bản + các khoản phụ cấp + % hoa hồng hợp đồng) - mức hoa hồng hấp dẫn tùy theo hợp đồng ký kết. - được hưởng các chế độ bhxh, bhyt và ngày nghỉ theo luật lao động. - lương tháng 13, các chế phúc lợi theo chế độ công ty - chế độ phúc lợi khác (tham gia du lịch cùng công ty, hiếu hỉ đối với người lao động..) - đồng nghiệp: được làm việc trong môi trường chuyên nghiệp, đồng nghiệp thân thiện, - cơ hội thăng tiến cao trong công việc"
kế toán tổng hợp,"1. báo cáo lãi lỗ hàng tháng tổng hợp hóa đơn mua vào – bán ra; theo dõi chi phí lương (chấm công, lập bảng lương, quản lý hồ sơ bhxh); theo dõi và lập hồ sơ thanh toán cho các chi phí của công ty; lập các báo cáo (lãi lỗ hàng tháng; báo cáo vat theo tháng; lập bctc, các tờ khai quyết toán hàng năm). 2. hoàn thiện hồ sơ thanh toán - quyết toán căn cứ yêu cầu hợp đồng, lập các hồ sơ thanh toán – quyết toán theo quy định công ty 3. thu hồi công nợ - thanh toán công nợ thu hồi các khoản phải thu; thanh toán công nợ cho các ncc. 4. các công việc liên quan đến ngân hàng quản lý các hồ sơ vay; phát hành các loại bảo lãnh; quản lý sao kê tài khoản, sổ phụ","có kinh nghiệm từ 2 năm là lợi thế; tốt nghiệp cao đẳng trở lên chuyên ngành kế toán hoặc tương đương; hiểu biết các quy định pháp luật về kế toán, thuế; nắm vững nghiệp vụ kế toán thương mại, thuế; sử dụng thành thạo vi tính văn phòng, misa và phần mềm kế toán; tinh thần trách nhiệm cao, cẩn trọng và chính xác trong các công việc kế toán.","thử việc 2 tháng, được hưởng 85% lương chính thức, được đào tạo qua công việc; cơ hội phát triển kỹ năng và nâng cao kiến thức chuyên môn; team building hàng năm và các chương trình nội bộ; tham gia bhxh theo quy định của pháp luật và công ty; các ngày nghỉ: nghỉ chủ nhật, các ngày lễ, tết theo quy định; chế độ tăng lương theo năng lực làm việc của nhân sự."
nhân viên khu vui chơi (làm việc tại aeon tân phú),"đón khách, phục vụ khách hàng tại khu vui chơi - bán xu, bán vé cho khách - hướng dẫn cách chơi cho bé. - trưng bày hàng hóa vào máy game và đồ chơi vào khu vui chơi - chơi với bé, giao tiếp với phụ huynh - dọn dẹp vệ sinh khu vui chơi - hỗ trợ cửa hàng trưởng; hướng dẫn công việc cho nhân viên - quản lý kiểm kê hàng hóa, thiết bị trong khu vui chơi *************** - làm việc theo ca luân chuyển: từ 8h sáng đến 5h30 chiều; hoặc từ 12h30 trưa đến 10h tối (có bao gồm 1 tiếng nghỉ giữa ca) - tuần làm 5 ngày, nghỉ 2 ngày (+ mỗi tháng được nghỉ 1 ngày phép)","nam/ nữ từ 18 tuổi trở lên - ưu tiên sinh viên mới ra trường - yêu trẻ con, có kinh nghiệm chăm sóc trẻ là lợi thế - có thái độ phục vụ tốt đối với khách hàng, luôn niềm nở và thân thiện với mọi người - trung thực, chăm chỉ. chịu khó. - nam/ nữ (ưu tiên nữ) từ 18 tuổi trở lên; sức khỏe tốt - yêu trẻ con, có kinh nghiệm chăm sóc trẻ là lợi thế - có thái độ phục vụ tốt đối với khách hàng, luôn niềm nở và thân thiện với mọi người - trung thực, chăm chỉ. chịu khó.","lương full time: 6.900.000 vnđ/tháng, bao gồm: + lương cơ bản; + trợ cấp đi lại (160 – 266); ăn giữa ca (700) ; chuyên cần (250) - hoặc làm part time: 38.000 ~vnd/giờ (tùy theo giờ làm thực tế) - lương thử việc: · fulltime: 85% lương (thử việc 1 tháng) · parttime: 100% lương (thử việc 1 tuần) - được tham gia bảo hiểm xã hội đầy đủ khi ký hđlđ chính thức - nghỉ ngơi 02 ngày/tuần, và 1 ngày nghỉ phép mỗi tháng. - môi trường làm việc thân thiện và có cơ hội thăng tiến - tham gia khám sức khỏe; du lịch hằng năm; tiệc công ty… - được tính lương của chế độ đi làm ngày lễ tết theo luật định"
nhân viên tư vấn tuyển sinh,"tiếp đón, tư vấn cho phụ huynh về chương trình học, cơ sở vật chất, đội ngũ giáo viên của trường mầm non. hỗ trợ phụ huynh trong việc đăng ký, nhập học cho con em. thực hiện các cuộc gọi, email, tin nhắn để giới thiệu chương trình học, các hoạt động của trường mầm non đến phụ huynh. phối hợp cùng trưởng bộ phận và marketing thực hiện các sự kiện, hội thảo, ngày hội tuyển sinh... chi tiết công việc trao đổi cụ thể khi phỏng vấn.","kỹ năng giao tiếp tốt, giọng nói dễ nghe, truyền tải thông tin rõ ràng, dễ hiểu. năng động, nhiệt tình, có khả năng thuyết phục. yêu thích trẻ em, có tâm huyết với nghề giáo dục. ưu tiên ứng viên có kinh nghiệm làm việc trong lĩnh vực giáo dục, đặc biệt là giáo dục mầm non.","có thưởng theo doanh số, thưởng kpi… xét tăng lương một lần/năm . được tham gia đầy đủ bhxh, bhyt và các chế độ phúc lợi khác theo đúng quy định của luật lao động và quy chế công ty. gửi con được miễn giảm học phí. du lịch hàng năm. phụ cấp ăn sáng và bao ăn trưa tại trường. thưởng lễ, tết, sinh nhật,... theo qui chế của công ty. thưởng cho con nhân viên có thành tích học sinh giỏi, quốc tế thiếu nhi, trung thu... các khoản khác theo quy định công ty."
nhân viên kinh doanh vật tư y tế,"• lập kế hoạch bán hàng và chăm sóc khách hàng cũ của công ty: bệnh viện, phòng khám, nhà thuốc,... • tìm kiếm, mở rộng và tăng độ phủ sản phẩm ở những địa bàn mới. • thực hiện các hoạt động bán hàng theo kế hoạch của công ty, chăm sóc khách hàng. • xây dựng, nâng cao hình ảnh của công ty và sản phẩm đến khách hàng. • kết hợp với các bộ phận khác có liên quan để thực hiện công việc. • các công việc khác theo sự phân công của quản lý trực tiếp, quản lý gián tiếp, ban giám đốc nhưng không trái với quy định của công ty và của pháp luật hiện hành. • công việc cụ thể trao đổi khi phỏng vấn.","trình độ/ bằng cấp: đại học, cao đẳng trở lên chuyên ngành: điện tử y sinh, thiết bị y tế, y, dược; kỹ sư y sinh - có kinh nghiệm tại vị trí tương đương trong ngành - ưu tiên ứng viên học chuyên ngành công nghệ sinh học, sinh học, y sinh và biết tiếng anh - có kiến thức về lĩnh vực y tế, dược, công nghệ sinh học - có đam mê với lĩnh vực kinh doanh, chịu được áp lực công việc. * kỹ năng chuyên môn: - kỹ năng giao tiếp, đàm phán ngoại giao tốt; - khả năng lập kế hoạch công việc và tư duy logic tốt; - khả năng làm việc dưới áp lực cao; - làm việc theo phân công được giao từ trưởng nhóm","được tham gia đầy đủ bhxh, bhyt,bhtn,cđ theo quy định - thường lương tháng thứ 13 - được đào tạo trong giai đoạn đầu (nếu chưa có kinh nghiệm) - được đi du lịch hàng năm do công ty tố chức - được xét duyệt nâng lương và thăng chức theo năng lực - được thưởng thêm nếu đạt doanh số đưa ra ngoài huê hồng bán hàng - được đi đào tạo sản phẩm ớ nước ngoài"
kế toán trưởng,"1. quản lý nhân sự kế toán: quản lý nhân viên kế toán khối văn phòng và các vị trí kế toán tại nhà máy 2. quản lý và điều hành toàn bộ công tác kế toán, hạch toán kế toán của công ty - tổ chức công tác tckt, quản lý điều hành phòng kế toán công ty - thu nhận, xử lý thông tin, số liệu kế toán theo đối tượng và nội dung công việc kế toán, theo chuẩn mực và chế độ kế toán. - kiểm tra, giám sát các khoản thu chi tài chính, các nghĩa vụ thu, nộp, thanh toán nợ; kiểm tra việc quản lý, sử dụng tài sản và nguồn hình thành tài sản; phát hiện và ngăn ngừa các hành vi vi phạm pháp luật nhà nước cũng như quy định khác của công ty về tckt. - phân tích thông tin, số liệu tckt; tham mưu đề xuất các giải pháp phục vụ yêu cầu quản trị và quyết định tài chính của công ty. - cung cấp thông tin số liệu kế toán theo quy định công ty. 3. tham gia lập kế hoạch kiểm kê (nhà máy) - xây dựng kế hoạch kiểm kê hàng tồn kho (hàng quý hoặc hàng tháng). - đánh giá rủi ro trong phương pháp lưu kho tại nhà máy, farm. - xử lý hàng hóa chênh lệch (thừa, thiếu). - phối hợp và tham mưu cho ban giám đốc nhà máy, ban giám đốc công ty phương án kiểm soát sản xuất hiệu quả và tối ưu chi phí. 4. rà soát chuẩn hóa hồ sơ kế toán - chuẩn hóa, đề xuất lưu trữ bộ hồ sơ thu mua hàng hóa của hộ nông dân.- chịu trách nhiệm về hồ sơ thu mua gạo, lúa khi tham gia gia quyết toán thuế, kiểm toán. 5. tham gia quyết toán thuế, hoàn thuế, kiểm toán - chịu trách nhiệm về hồ sơ quyết toán thuế, hoàn thuế, kiểm toán. - đánh giá rủi ro về thuế với các chứng từ hiện hành - tham vấn các hóa đơn liên quan tới sai phạm về gian lận thuế 6. lập báo cáo tài chính - đảm bảo báo cáo tài chính đúng hạn, chính xác về số liệu (tháng, quý, năm). - đảm bảo thời hạn nộp báo cáo với các cơ quan thuế. - đảm bảo các chỉ tiêu công nợ, hàng tồn kho, thuế, tài sản, tiền phải được xác nhận hàng tháng/quý/năm. 7. kiểm soát hồ sơ dựa trên ngân sách phòng ban - soát xét hồ sơ theo ngân sách phòng ban - đề xuất ngân sách phù hợp - các công việc khác được giao 8. quản lý hành chính - thực hiện các báo cáo định kỳ theo qui định của phòng, công ty để cung cấp thông tin chính xác kịp thời cho giám đốc tài chính và bgđ - dọn dẹp và quản lý khu vực làm việc sạch sẽ và ngăn nắp - hỗ trợ nhân viên trong phòng cập nhật các báo cáo nhằm hoàn tất mục tiêu chung của phòng ban. - chấp hành nội quy công ty, quy tắc ứng xử trong kinh doanh - làm các công việc khác theo yêu cầu của trưởng bộ phận","1. kinh nghiệm làm việc - ít nhất 5 năm kinh nghiệm ở vị trí tương đương tại các doanh nghiệp sản xuất nông sản. - đại học trở lên chuyên ngành tài chính kế toán - sẵn sàng đi công tác khi có yêu cầu - biết sử dụng hệ thống erp (sap). có tư duy tốt về quản trị hệ thống và có tư duy xây dựng phát triển hệ thống. - sử dụng thành thạo microsoft office (word, excel, powerpoint) - từng làm công ty sản xuất (nếu là nông sản, thực phẩm thì càng tốt) - từng quản lý nhân sự trên 10 người, doanh thu công ty trên 500 tỷ. 2. nghiệp vụ chuyên môn - có bằng nghiệp vụ kế toán trưởng- am hiểu về luật kế toán, thuế. - có tư duy về vận hành và am hiểu lĩnh vực tài chính - có kinh nghiệm quyết toán thuế, kiểm toán, thanh tra và hoàn thuế - có đạo đức kế toán, trách nhiệm trong công việc - tư duy hệ thống tốt - biết xây dựng kpi cho nhân viên - xây dựng các quy chế, quy trình, biểu mẫu của phòng tc-kt 3. kỹ năng tổng quát - có tư duy kế toán theo hệ thống mới - kỹ năng tổ chức công việc tốt - kỹ năng quản lý, kỹ năng lãnh đạo - phân tích dữ liệu và sử dụng tốt các phần mềm kế toán. - xử lý công việc nhanh, hiệu quả. - đọc hiểu các chứng từ, hợp đồng tiếng anh (lợi thế). 4. thái độ làm việc - tính kỷ luật tốt, chịu khó, ham học hỏi, tinh thần hỗ trợ và làm việc nhóm. trung thực và giao tiếp tốt với đồng nghiệp - cẩn thận, chi tiết trong công việc co được , giãn được, không dễ tự ái. đi nhà máy công tác liên tục ở 2 tháng thử việc. sau khi lên chính thức thì vài tháng mới đi một lần. ôn hòa giữa 2 thế hệ trong công ty ( già nhất 8x - trẻ nhất 2k)","full tất cả các quyền lợ i mà tất cả công ty đều có vì bạn xứng đáng. một số quyền lợi cơ bản chắc chắn có: - lương tháng 13, thưởng hiệu quả công việc theo tình hình kinh doanh - bảo hiểm sức khỏe sau khi hoàn thành thử việc - các phúc lợi khác: thêm 2 ngày phép/năm, tặng gạo hàng quý, clb thể thao (yoga, cầu lông), thưởng tết dương lịch, 20/10, 8/3, quốc tế thiếu nhi theo chính sách công đoàn."
nhân viên kinh doanh - thị trường,"công ty tnhh mtv phan gia thịnh tuyển dụng 2 nhân viên kinh doanh +mô tả công việc: - tìm kiếm và phát triển nguồn khách hàng tiềm năng, đi thị trường làm việc với các đại lý, npp - lên kế hoạch kinh doanh sản phẩm - tư vấn và thuyết phục khách hàng mua sản phẩm - chốt và hoàn thiện hợp đồng mua bán với khách hàng, làm việc với khách hàng các vấn đề liên quan đến hàng hoá, chính sách, đơn hàng,... - chăm sóc khách hàng trước và sau sale - theo dõi quá trình thanh lý hợp đồng. - kết hợp với bộ phận marketing lên kế hoạch, các chương trình ưu đãi nhằm thu hút các đối tượng khách hàng. - cùng các bộ phận khác nâng cao giá trị và chất lượng sản phẩm. - làm các báo cáo công việc theo định kỳ theo yêu cầu cấp trên. -tham gia họp cùng các bộ phận, báo cáo phản hồi từ khách để có giải pháp xử lý, khắc phục hiệu quả. - thực hiện các công việc khác theo yêu cầu của cấp trên","+ yêu cầu công việc: - có kỹ năng giao tiếp, đàm phán và thuyết phục khách hàng - nhanh nhẹn trong công việc -chịu khó và siêng năng, chịu được áp lực trong công việc - đã từng được đào tạo qua các khóa quản trị kinh doanh… là một lợi thế - có mong muốn gắng bó lâu dài với công ty","+ quyền lợi: - lương từ 12-15 triệu đồng - thưởng thêm % hoa hồng từ việc mở rộng được nhiều đối tác khách hàng - được nghĩ ngày chủ nhật( nếu có công việc phát sinh vẫn phải xử lý) - được đóng bhxh,bhyt,bhtn theo đầy đủ quy định"
"nhân viên kinh doanh (kênh shop mỹ phẩm , spa, thẩm mỹ viện) - toàn quốc","chăm sóc đại lý cũ, duy trì và nâng cao doanh số - tìm kiếm, khai thác và chăm sóc khách hàng mới - được hỗ trợ các nguồn thông tin khách hàng từ dữ liệu công ty. - lên kế hoạch kinh doanh tuần, tháng, quý - lên kế hoạch doanh số hàng tháng trong khu vực được giao. - quản lý phân phối dược mỹ phẩm, thực phẩm chức năng các khu vực tỉnh toàn quốc - chịu trách nhiệm doanh số giao - báo cáo cho trưởng phòng kinh doanh địa điểm làm việc : + làm việc tại hcm: 58 đường 9, khu đô thị vạn phúc, tp. thủ đức, tp.hồ chí minh + làm việc tại hn: tầng 7 – tim building, 40 tăng thiết giáp, bắc từ liêm, hà nội.","ưu tiên có kinh nghiệm bán hàng - ưu tiên cho ứng viên có kinh nghiệm bán hàng dược mỹ phẩm, thực phẩm chức năng - khả năng làm việc theo nhóm - khả năng thuyết phục, giao tiếp tốt - nhanh nhẹn, trách nhiệm, trung thực, chấp nhận đi công tác"" - nam tuổi từ 22-30 - có kinh nghiệm bán hàng mỹ phẩm, dược phẩm, tpcn, ngành hàng tiêu dùng là 1 lợi thế - có kinh nghiệm kênh phân phối cho shop, spa, tmv là 1 điểm cộng - khả năng làm việc theo nhóm - khả năng giao tiếp tốt - nhanh nhẹn, trách nhiệm, trung thực, chịu đi công tác","thu nhập từ 15.000.000đ -30.000.000vnđ (bao gồm lương cơ bản: 7.500.000vnđ + hoa hồng doanh số) - hoa hồng 4% + thưởng mở đại lý mới 2% - thưởng doanh số quý, năm - làm việc trong môi trường năng động, chuyên nghiệp có nhiều cơ hội thăng tiến - cung cấp trang thiết bị đầy đủ để phục vụ công việc - tháng lương 13 - thưởng tết - bhxh, bhyt, bhtn - được hưởng các chính sách phúc lợi theo quy định của công ty - được đào tạo, nâng cao nghiệp vụ thường xuyên"
tuyển dụng nhân viên c&b,"lương tham gia xây dựng quy chế, chính sách về tiền lương, lương sản phẩm, tiền thưởng, đãi ngộ - phúc lợi. thực hiện công tác tính tiền lương, tiền công, chi trả thưởng cho cán bộ nhân viên. tham gia thiết kế chính sách lương theo vị trí công việc và theo năng lực. tham gia xây dựng hệ thống chức danh, ngạch, bậc công việc. tổng hợp truy thu từ các bộ phận. xây dựng & đăng ký thang bảng lương phù hợp qui định nhà nước. góp ý, soạn thảo các quy trình, quy định liên quan đến nghiệp vụ c&b. soạn thông báo, qui định về chính sách lương, thưởng ra hệ thống. giải quyết qui trình nghỉ việc, đảm bảo nlđ nhận các khoản thanh toán lương, quỹ trách nhiệm đúng thời hạn. 2. chế độ bhxh, bảo hiểm sức khỏe cấp quản lý, bảo hiểm tai nạn 24/24 cập nhật thông tin nhân viên được ký hợp đồng lao động chính thực thực hiện thủ tục tham gia bảo hiểm cho nlđ. cập nhật theo dõi danh sách tham gia bảo hiểm, làm đề nghị thanh toán hàng tháng. định kỳ 03 tháng thông báo cho người lao động biết về nhu cầu thay đổi nơi khám chữa bệnh. định kỳ 06 tháng thực hiện thủ tục gia hạn thẻ bhyt, cấp phát thẻ mới cho nlđ. thực hiện các thủ tục bảo hiểm sức khỏe cho cấp quản lý",trình độ học vấn : cao đẳng/đại học trở lên . trình độ chuyên môn: nhân sự/hành chính văn phòng . trình độ vi tính: sử dụng thành thạo tin học văn phòng. trình độ ngoại ngữ: tiếng anh giao tiếp cơ bản. kinh nghiệm: ưu tiên có kinh nghiệm trên 01 năm. độ tuổi: từ 24 tuổi trở lên,"lương + bhxh đầy đủ khám sức khỏe hàng năm du lịch teambuilding hàng năm thưởng lương tháng 13, thưởng lễ, tết"
dược sĩ bán hàng khu vực miền bắc,"tư vấn, cắt liều cho khách hàng - chăm sóc và giải đáp thắc mắc của khách hàng liên quan đến dược phẩm, thực phẩm chức năng - giữ nhà thuốc sạch sẽ, ngăn nắp, sắp xếp thuốc đúng vị trí - quản lý thuốc theo lô/ date và tài sản trong nhà thuốc - tuân thủ luật quy định của công ty và ngành dược - thời gian làm việc 8h xoay ca do nhà thuốc sắp xếp: 6:00-14:00, 14:00-22:00, 15:00-23:00. 16:00-23:30 - ca làm việc 8h/ ngày (có 30 phút nghỉ giải lao)","nam nữ tốt nghiệp trung cấp dược trở lên (20 - 40 tuổi) - xoay ca linh hoạt - ngoại hình sáng, ưa nhìn - cao từ 1m50 trở lên - khả năng tư vấn, bán hàng, cắt liều theo bệnh - giao tiếp tốt, nhanh nhẹn - hiểu biết về gpp, dược lý - nếu ứng viên muốn vào vị trí thực tập thì không yêu cầu kinh nghiệm","dược sĩ bán hàng (thu nhập 8 - 13 triệu/ tháng) - có phụ cấp ca đêm sau 22h - ngày nghỉ: 2 ngày nghỉ/ tháng và có 12 ngày phép năm - lương cạnh tranh cùng nhiều chế độ thưởng - được đào tạo chuyên nghiệp trước khi làm việc - môi trường làm việc trẻ, năng động và thân thiện - tham gia đầy đủ các chế độ bhyt, bhxh, bhtn - lương thưởng tháng 13 - thưởng cuối năm và tăng lương hằng năm - cơ hội phát triển bản thân và thăng tiến lên các vị trí cửa hàng trưởng"
nhân viên telesales cfd,"gọi điện, quảng bá tư vấn các sản phẩm và dịch vụ tài chính của công ty phát triển mối quan hệ kinh doanh với các khách hàng và đối tác tiềm năng cung cấp cho khách hàng các chương trình khuyến mãi của công ty và thông tin cập nhật về thị trường tài chính cập nhật báo cáo kết quả kinh doanh hàng ngày. hoàn thành kpi cá nhân do công ty đặt ra.","ứng viên từng làm về ngành ngoại hối (forex), bo, tiền điện tử (crypto), cfd và các dịch vụ tài chính phái sinh khác. có laptop cá nhân dùng cho công việc. quen thuộc với điện thoại thông minh / thiết bị di động / ứng dụng di động kỹ năng giao tiếp, xã hội tốt. chú ý đến chi tiết và ham học hỏi tinh thần trách nhiệm cao và nhiệt tình.","thu nhập từ 500- 2,500$, chưa kể các khoản thưởng nóng khác làm giờ hành chính nghỉ t7, cn môi trường start up trẻ trung, hòa đồng cơ hội phát triển lên các vị trí cao hơn chỉ sau 1 năm review lương 6 tháng/lần có tuyển part time dành cho các bạn sinh viên sắp ra trường hoặc người đang cần tìm việc làm thêm."
kỹ thuật viên điện lạnh,"kiểm tra, bảo trì, sửa chữa và lắp đặt các thiết bị điện lạnh (máy lạnh, tủ lạnh...), điện gia dụng (nồi cơm, máy hút bụi...) - các nhiệm vụ khác: trao đổi trực tiếp khi phỏng vấn","trình độ học vấn/chuyên môn: + tốt nghiệp trung cấp trở lên chuyên ngành kỹ thuật điện lạnh... + kinh nghiệm: ưu tiên ứng viên có kinh nghiệm từ 1 năm - kỹ năng: + ngoại ngữ: không yêu cầu, nhưng biết tiếng anh chuyên ngành kỹ thuật điện là lợi thế + phẩm chất đạo đức: trung thực, nhanh nhẹn, chuyên cần + khác: biết sử dụng email, soạn thảo văn bản ( biên bản làm việc, báo cáo…), có khả năng tổng hợp","lương thưởng đầy đủ theo luật lao động,có đóng bảo hiểm khi ký hợp đồng chính thức . - môi trường làm việc năng động..."
nhân viên e-commerce tiktok (không yêu cầu kinh nghiệm),"thực hiện vận hành thương mại điện tử tiktok, không giới hạn ở việc tự quảng bá thương hiệu, book video và lên kế hoạch livestream,... - công việc chi tiết trao đổi trong quá trình phỏng vấn địa chỉ: 25 đường 3158b phạm thế hiển, phường 7, quận 8, tp. hồ chí minh.","ngoại hình ưa nhìn, giao tiếp tốt, giọng hát hay là 1 lợi thế. - có khả năng livestream, tự tin trước máy quay ( không có kinh nghiệm sẽ được hướng dẫn) - thời gian làm việc theo sự sắp xếp của quản lý - chăm chỉ, chịu khó - tốt nghiệp: cđ/đh các chuyên ngành kinh tế","lương từ 8-20 triệu ( lương cứng + kpi ) - được đào tạo tất cả về bán hàng, vận hành sàn tiktok... - phỏng vấn và đi làm ngay nếu đạt yêu cầu - công việc ổn định và lâu dài."
"nhân viên sale phát triển thị trường, lương 10 triệu trở lên - không cần kinh nghiệm","kinh doanh các mặt hàng thực phẩm đông lạnh nhập khẩu: heo, bò, gà,... - xây dựng và thực hiện kế hoạch khảo sát thị trường theo chiến lược phát triển mở rộng thi trường kinh doanh của công ty - tìm kiếm kh duy trì, chăm sóc mối quan hệ với các đối tác đã tìm kiếm, khách hàng tiềm năng - thực hiện các báo cáo công việc theo yêu cầu của quản lý - thực hiện các công việc khác khi được sự chỉ đạo của quản lý - làm việc tại: số 357 lê văn khương, phường hiệp thành, quận 12, tp.hcm","có tinh thần cầu tiến, ham học hỏi, chinh phục những khó khăn trong công việc. - nhiệt tình, năng động và có trách nhiệm với công việc; - tốt nghiệp chuyên ngành tài chính kế toán - thành thạo word, excel - biết sử dụng phần mềm kế toán bán hàng - nhanh nhẹn, chịu khó, biết tư vấn sản phẩm, có trách nhiệm trong công việc - kỹ năng giao tiếp tốt. - tốt nghiệp trung cấp trở lên chuyên ngành: quản trị kinh doanh, tài chính,.. - ưu tiên đã làm công việc bán hàng sale văn phòng, sale thị trường,...hoặc đã làm quản lý nhóm sale là một lợi thế - ứng viên chịu khó, tích cực, năng động, yêu thích kinh doanh mảng thực phẩm - có tinh thần trách nhiệm cao, chính trực - có khả năng giao tiếp duy trì các mối quan hệ hợp tác","lương căn bản + phụ cấp: 10.000.000 - 12.000.000 đồng (chưa bao gồm tiền hoa hồng doanh số) - tham gia bhxh, bhyt, bhtn khi ký hợp đồng lao động sau thời gian thử việc - môi trường làm việc có tính chuyên nghiệp, năng động, thân thiện và cởi mở. cơ hội thăng tiến - cung cấp trang thiết bị đầy đủ để phục vụ công việc - nhân viên có năng lực tốt có thể ký hợp đồng chính thức khi chưa hết thời gian thử việc - thưởng theo chế độ đãi ngộ của công ty. - phỏng vấn và đi làm ngay nếu đạt yêu cầu - công việc ổn định và lâu dài, cơ hội thăng tiến"
nhân viên pha chế,"chuỗi nhà hàng cafe h'mong sister thuộc sở hữu của công ty tt global cargo. chúng tôi cần tuyển các vi trí sau : - 02 nhân viên pha chế (barista ): biết công thức pha chế các món cafe thuần việt. - 02 nhân viên pha chế nước detox, nước ép. - tuân thủ nghiêm ngặt quy trình chuẩn bị và chế biến cà phê hoặc nước ép, detox. - giám sát chất lượng cà phê hoặc nước ép, detox và đảm bảo chất lượng ổn định - thu ngân, giao tiếp, giới thiệu sản phẩm với khách hàng - giữ gìn và bảo quản tài sản, thiết bị máy móc sử dụng trong nhà hàng - duy trì môi trường nhà hàng sạch sẽ với bầu không khí dễ chịu, thân thiện - đảm bảo khách hàng được đón tiếp niềm nở khi ghé thăm nhà hàng bằng cách chào đón, kịp thời hỗ trợ khách hàng khi cần thiết - thực hiện các nhiệm vụ khác theo yêu cầu từ quản lý - địa chỉ làm việc: khu đô thị sadora ( quận 2 cũ), thành phố thủ đức , tp.hcm - địa chỉ phỏng vấn: lầu 4, tòa nhà perfect, 150 bis lê thị hồng gấm, p. cầu ông lãnh, q.1, tp.hcm","ứng viên trên 18 tuổi, không yêu cầu kinh nghiệm, bằng cấp - có khả năng xoay ca, 8 tiếng/ca theo lịch nhà hàng sắp xếp, bao gồm cuối tuần và các ngày nghỉ lễ tết. - có sức khỏe tốt, khả năng làm việc hiệu quả trong môi trường phục vụ nhanh - có tinh thần đồng đội và kỹ năng giao tiếp cơ bản - ưu tiên ứng viên có kinh nghiệm trong ngành dịch vụ nhà hàng - khách sạn, pha chế",mức lương theo thỏa thuận ( lương cố định hàng tháng ) - thưởng theo qui chế công ty - đồng phục được cấp phát miễn phí
