location,count,ratio
"Tòa nhà TSA, 77 Lê Trung Nghĩa, Phường 12 | Tòa nhà VNO, 462 Phan Xích Long, Phường 2 | Bình Thạnh | Quận 12 | Quận 3 | Tầng 8, tầng 9, tầng 10 tòa nhà số 24C đường Phan Đăng Lưu, Phường Gia Định, TP Hồ Chí Minh, Việt Nam",217,0.0003972976436771087
"Tòa nhà Viettel Complex, 285 Cách Mạng Tháng Tám, P.12, Q.10, TPHCM",214,0.0003918050495248906
Hà Nội; Hồ Chí Minh,208,0.0003808198612204544
"Trụ sở chính: Số 485, Xa Lộ Hà Nội, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh; Chi nhánh tại Hà Nội: Km số 17, Quốc lộ 1A, Xã Duyên Thái, Huyện Thường Tín, Hà Nội.",206,0.00037715813178564235
"Số 175 Trần Phú, Phường Hạc Thành, Tỉnh Thanh Hóa, Việt Nam",205,0.00037532726706823635
"Toàn khu vực | Tầng 2, Tòa nhà REE Tower, Số 9 đường Đoàn Văn Bơ, Phường Xóm Chiếu, Thành phố Hồ Chí Minh, Việt Nam",193,0.00035335689045936394
"29 Đoàn Thị Điểm, Phường Ô Chợ Dừa, TP Hà Nội, Việt Nam",190,0.00034786429630714584
Bắc Ninh,189,0.00034603343158973984
"Tòa nhà Hương Giang, số 1, ngõ 11 Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",189,0.00034603343158973984
"Tòa nhà Mường Thanh, Lô CC5, bán đảo Linh Đàm, Hoàng Mai, Hà Nội",185,0.0003387099727201157
"Tầng 2, tòa nhà OCT 3D, KĐT Handi Resco, Phạm Văn Đồng | P901, Tầng 9 Tòa nhà Sky City Tower A, Số 88 Láng Hạ, Phường Láng Hạ, Quận Đống đa, Hà Nội",183,0.00033504824328530364
"Tầng 12, Tòa nhà Lim II, Số 62A Cách Mạng Tháng 8, Phường 6, Quận 3, Tp HCM.",182,0.00033321737856789764
"Tân Bình, Hồ Chí Minh",182,0.00033321737856789764
"Số 25 Trần Hưng Đạo, Q.Hoàn Kiếm, TP.Hà Nội",180,0.00032955564913308554
"230 Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, TP. Hồ Chí Minh",177,0.00032406305498086744
"Số 333 đường Hưng Định 24, Khu phố Hưng Lộc, Phường Hưng Định, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",176,0.00032223219026346144
