company_name,count,ratio
Công Ty Cổ Phần Tập Đoàn Đèo Cả,283,0.0005181347150259067
Công Ty Tài Chính Trách Nhiệm Hữu Hạn Một Thành Viên Shinhan Việt Nam,279,0.0005108112561562826
Công Ty Cổ Phần Dược Phẩm Bến Tre,279,0.0005108112561562826
Công Ty Cổ Phần Thép Việt Xô Hà Nội,277,0.0005071495267214705
CÔNG TY TNHH PARIS BAGUETTE VIỆT NAM,275,0.0005034877972866585
Công Ty CP ĐT PT Giáo Dục Quốc Tế Hoàng Gia,275,0.0005034877972866585
Công Ty TNHH Hunufa,271,0.0004961643384170344
Công Ty TNHH Silverland Bến Thành,271,0.0004961643384170344
Công Ty TNHH Bảo Hiểm Nhân Thọ AIA (Việt Nam),267,0.0004888408795474102
Công Ty TNHH Nguyễn Quang Sài Gòn Ô Tô,263,0.0004815174206777861
Chi Nhánh Công Ty TNHH DV & TM Mesa,261,0.00047785569124297406
Arena Multimedia,258,0.00047236309709075596
Công Ty TNHH Cheng Loong Bình Dương Paper,255,0.00046687050293853786
Công Ty TNHH CBRE (Việt Nam),254,0.00046503963822113186
Công Ty Cổ Phần Dược Hậu Giang,252,0.00046137790878631975
Công Ty TNHH Động Học Stella,252,0.00046137790878631975
Công Ty TNHH Bảo Hiểm Nhân Thọ Sun Life Việt Nam,248,0.00045405444991669566
Công Ty Cổ Phần Ttv Hrs Sài Gòn,246,0.0004503927204818836
Công Ty TNHH Thời Trang Và Mỹ Phẩm Âu Châu (Acfc),246,0.0004503927204818836
Công Ty Cổ Phần Mega Sun,245,0.00044856185576447755
Công Ty TNHH SX TM Hồng Phúc,243,0.0004449001263296655
