primary_industry,count,mean,median,std,min,max
Giáo dục / Đào tạo / Thư viện,82,16.45731707317073,14.0,9.361713208303263,2.0,30.0
Vật tư/Thiết bị/Mua hàng,68,18.96323529411765,14.0,16.76779878051411,6.0,120.0
Phiên dịch/ Ngoại ngữ,17,16.205882352941178,14.0,4.479323412670056,10.0,25.0
Xuất nhập khẩu / Ngoại thương,10,20.2,14.0,15.643955169116706,9.5,60.0
Biên phiên dịch / Thông dịch viên,7,15.214285714285714,14.0,3.849860850917676,11.0,21.0
Truyền thông/Internet/Online Media,3,13.833333333333334,14.0,1.2583057392117918,12.5,15.0
Việc làm Tết,3,14.166666666666666,14.0,2.2546248764114467,12.0,16.5
Hàng hải,1,14.0,14.0,,14.0,14.0
IT Phần mềm,4301,16.151278772378515,13.5,10.066103758455336,1.05,150.0
Ngân hàng / Chứng khoán,150,13.273333333333333,13.5,5.0462913043552735,7.0,55.0
Quản trị kinh doanh,42,15.517857142857142,13.5,10.358864599171675,1.5,52.25
Nghệ thuật / Thiết kế / Giải trí,37,14.45945945945946,13.5,4.0899238962940965,10.0,25.0
Cơ khí - Chế tạo,14,15.964285714285714,13.5,7.6118942495238375,6.0,35.0
Khách sạn - Nhà hàng,40,15.7625,13.25,8.177311874153965,6.0,45.0
Kiến trúc - Thiết kế nội ngoại thất,4395,14.03602957906712,13.0,4.78464611703049,1.5,75.0
Kỹ thuật ứng dụng / Cơ khí,106,15.21933962264151,13.0,6.7945796700812755,7.0,42.5
Sản xuất / Vận hành sản xuất,59,15.59322033898305,13.0,7.17783620278855,6.5,35.0
Vận tải - Lái xe/ Tài xế,34,14.610294117647058,13.0,6.252633135167509,7.0,35.0
Bán hàng,32,14.284375,13.0,5.98781609038371,6.85,35.0
Vật tư / Thu mua,11,14.590909090909092,13.0,6.814756715460141,9.0,33.5
Dệt may - Da giày,8,13.4375,13.0,3.529847224536981,8.0,20.0
Bán lẻ / Bán sỉ,6,14.25,13.0,4.875961443653959,8.0,22.5
In ấn - Xuất bản,2,13.0,13.0,2.8284271247461903,11.0,15.0
Phi chính phủ/ Phi lợi nhuận,22,15.113636363636363,12.75,7.142981600647319,3.0,35.0
Bán hàng - Kinh doanh,48230,14.399389384128137,12.5,7.8421097166134635,1.25,155.0
Cơ khí - Ô tô - Tự động hóa / Sản xuất - Lắp ráp - Chế biến,21996,14.139866339334425,12.5,6.424759259249034,1.05,152.5
Khoa học - Kỹ thuật,19208,13.571282798807788,12.5,5.597325552887023,1.5,130.0
Giáo dục - Đào tạo / Biên phiên dịch,16420,13.966735688185139,12.5,6.136758423520528,1.25,135.0
Dược phẩm / Y tế - Chăm sóc sức khỏe,13390,14.8808215085885,12.5,7.69372863444642,1.5,150.0
Điện - Điện tử - Điện lạnh / Vận hành - Bảo trì - Bảo dưỡng,13382,13.595635928672843,12.5,5.167207998515564,1.05,100.0
Tài chính - Đầu tư - Chứng Khoán,8568,13.584640522875816,12.5,7.356263356008394,1.5,115.0
Xuất Nhập Khẩu / Thu mua - Kho Vận - Chuỗi cung ứng,7338,14.00472199509403,12.5,6.323978598413288,1.25,161.0
Dệt may - Da giày - Thời trang,5371,13.32903556134798,12.5,5.858104961828543,1.5,85.0
Thiết kế - Sáng tạo nghệ thuật,2964,12.200101214574898,12.5,4.472255377759636,1.5,75.0
Tư vấn dịch vụ khách hàng,819,14.122466422466422,12.5,6.9944386411229225,2.0,42.5
Tư vấn/ Chăm sóc khách hàng,569,15.385149384885764,12.5,11.02984842868147,1.35,125.0
Marketing/PR/Quảng cáo,227,14.502202643171806,12.5,11.418380791761004,3.0,100.0
Tiếp thị - Quảng cáo,100,13.4675,12.5,8.31054877607947,1.25,56.0
Thiết kế,70,12.535714285714286,12.5,4.359166112061639,3.0,25.0
Quảng cáo / Khuyến mãi / Đối ngoại,59,13.44915254237288,12.5,5.578935842210595,2.0,27.5
Kế toán,24,13.541666666666666,12.5,3.5992652229208586,9.0,21.5
Mỹ phẩm - Trang sức,5,15.9,12.5,7.411140263144397,10.0,27.5
Thống kê,5,13.4,12.5,2.6551836094703507,11.0,17.5
Chăm sóc khách hàng (Customer Service)/Vận hành,3,13.5,12.5,11.034038245356955,3.0,25.0
Giáo dục / Đào tạo,2,12.5,12.5,14.142135623730951,2.5,22.5
Backend Developer,1,12.5,12.5,,12.5,12.5
Cơ khí chế tạo / Điện / Điện tử / Tự động hóa,1,12.5,12.5,,12.5,12.5
Data Engineer,1,12.5,12.5,,12.5,12.5
Kế toán/Kiểm toán/Thuế,1,12.5,12.5,,12.5,12.5
Nội ngoại thất,1,12.5,12.5,,12.5,12.5
['Công nghệ Thông tin',1,12.5,12.5,,12.5,12.5
phục vụ,1,12.5,12.5,,12.5,12.5
Thiết kế đồ họa - Web,56,11.410714285714286,12.25,5.943756956105015,2.0,25.0
Chăm sóc khách hàng,49389,14.297915527678228,12.0,8.400863035176146,1.05,130.0
Giáo dục - Đào tạo / Chăm sóc khách hàng,13641,13.109812330474305,12.0,6.6753751754568675,1.25,135.0
Quản lý tiêu chuẩn và chất lượng,3545,13.33722143864598,12.0,6.005936118544454,1.5,90.0
Thư ký / Hành chánh,122,12.634016393442622,12.0,5.762540282906986,1.5,37.5
Dệt may / Da giày,4,11.875,12.0,2.780137886268713,9.0,14.5
Lao động phổ thông Giúp việc nhà,1,12.0,12.0,,12.0,12.0
Thực phẩm - Đồ uống,23,15.130434782608695,11.75,7.5203774556267335,5.0,35.0
Chưa xác định,22533,13.5955307770825,11.5,8.03371237100034,1.05,150.0
Vận hành - Bảo trì - Bảo dưỡng,13254,12.68139806850762,11.5,5.348465256515203,1.1,115.0
Marketing,13039,12.64247641686479,11.5,6.609069262210586,1.05,175.0
Thực phẩm - Đồ uống / Công nghệ thực phẩm - Dinh dưỡng,9948,12.853452955317652,11.5,6.029411584149336,1.2,110.0
Dịch vụ khách hàng,303,13.605940594059406,11.5,5.227642177710818,2.0,50.0
Vận chuyển / Giao thông / Kho bãi,31,11.709677419354838,11.5,3.6142638566942575,8.0,27.5
Hóa chất / Sinh hóa / Thực phẩm,6,11.166666666666666,11.5,2.9097537123726926,6.0,15.0
Báo chí / Biên tập viên / Xuất bản,3,16.5,11.5,11.821590417536889,8.0,30.0
Hành chính / Nhân sự / Trợ lý / Biên phiên dịch / Pháp lý,2,11.5,11.5,1.4142135623730951,10.5,12.5
Y tế / Sức khỏe / Làm đẹp,1,11.5,11.5,,11.5,11.5
Kế toán / Kiểm toán,42784,11.821377150336573,11.0,4.614807379613107,1.05,125.0
Nhân sự / Hành chính - Thư ký,11098,11.663840331591278,11.0,5.76413730105073,1.05,125.0
Vận Tải - Lái xe - Giao nhận,7843,11.898074716307535,11.0,5.035891404227411,1.25,115.0
Nhân sự,169,13.71301775147929,11.0,11.416197338531871,1.0,65.0
Quản lý chất lượng (QA / QC),13,13.076923076923077,11.0,6.3319170143743255,8.6,27.5
Thu mua / Vật tư,1,11.0,11.0,,11.0,11.0
Tài chính / Kế toán,1,11.0,11.0,,11.0,11.0
Đồ Gỗ,1,11.0,11.0,,11.0,11.0
Nghề nghiệp khác,19433,12.232114958935831,10.5,7.077083678730105,1.05,117.5
Nhà hàng / Dịch vụ ăn uống,10,14.725,10.5,11.463983455442818,8.25,46.0
Lao động phổ thông,20880,10.255589080411877,10.0,4.371856202887945,1.05,90.0
Hành chính - Thư ký,7034,10.830786181404607,10.0,4.639550878582723,1.25,91.0
Thu mua - Kho Vận - Chuỗi cung ứng,5928,11.165873819078946,10.0,4.522022136643179,1.5,75.0
Nhà hàng khách sạn / Du lịch,2,10.0,10.0,0.0,10.0,10.0
Copywriter,1,10.0,10.0,,10.0,10.0
Tư vấn logistics / marketing / thương mại,1,10.0,10.0,,10.0,10.0
Khách sạn - Nhà hàng - Du lịch / Bán sỉ - Bán lẻ - Quản lý cửa hàng,12956,10.875042451219512,9.5,5.506255188210952,1.05,79.5
Nông - Lâm - Ngư nghiệp,4,10.25,9.5,2.8722813232690143,8.0,14.0
Nội thất / Ngoại thất,1,9.5,9.5,,9.5,9.5
Viễn Thông,1,9.5,9.5,,9.5,9.5
An Toàn Lao Động,1,9.0,9.0,,9.0,9.0
Khách sạn - Nhà hàng - Du lịch,7801,10.51118766824766,8.5,6.411304836603317,1.25,115.0
Nghệ thuật - Điện ảnh,1,8.5,8.5,,8.5,8.5
Promotion Girl/ Boy (PG-PB),5,12.5,8.0,9.912113800799505,6.0,30.0
Người giúp việc/ Phục vụ/ Tạp vụ,10,9.975,7.75,7.322387664629011,4.0,30.0
Làm bán thời gian,40,10.6075,6.0,22.926531350023044,2.0,150.0
Thực tập sinh / Lao động phổ thông,4876,6.633511074651354,4.0,7.332933219253484,1.05,125.0
Thực tập,464,7.613793103448276,4.0,12.855272361250831,1.0,100.0
Marketing / Truyền thông / Quảng cáo,1,2.5,2.5,,2.5,2.5
