column,count,mean,std,min,25%,50%,75%,max
salary_min_million_vnd,536149.0,10.511033388097339,25.52517486533216,0.0,7.0,9.0,11.0,1000.0
salary_max_million_vnd,536149.0,22.852057413088527,1254.6424662414286,0.0,10.0,15.0,20.0,500000.0
salary_avg_million_vnd,536149.0,16.68154540059293,628.2352561039576,0.0,9.0,12.0,15.0,250000.5
