column,count,mean,std,min,25%,50%,75%,max
salary_min_million_vnd,492981.0,9.93947067033415,5.03228606295252,1.2e-05,7.0,9.0,12.0,200.0
salary_max_million_vnd,492981.0,17.17287490797414,12.381041972065818,1.3e-05,10.0,15.0,20.0,303.0
salary_avg_million_vnd,492981.0,13.556172789154145,7.940442752370183,1.2499999999999999e-05,9.0,12.0,15.5,200.0
