primary_industry,count,ratio
Bán hàng - Kinh doanh / Chăm sóc khách hàng / Kế toán,58,0.00010619015360954979
Cơ khí - Chế tạo,56,0.00010252842417473772
Sản xuất - Lắp ráp - Chế biến / Vận Tải - Lái xe - Giao nhận,55,0.0001006975594573317
Marketing / Thông tin - Truyền thông - Quảng cáo / Truyền hình - Báo chí - Biên tập,53,9.703583002251964e-05
Kế toán / Tài chính - Đầu tư - Chứng Khoán / Kiểm toán,52,9.52049653051136e-05
Thực phẩm - Đồ uống,52,9.52049653051136e-05
Bán hàng - Kinh doanh / Chăm sóc khách hàng / Hành chính - Thư ký,50,9.154323587030155e-05
Pháp luật/ Pháp lý,49,8.971237115289551e-05
Xây dựng / Kiến trúc - Thiết kế nội ngoại thất,49,8.971237115289551e-05
Thương mại điện tử,47,8.605064171808345e-05
Xuất - Nhập khẩu,47,8.605064171808345e-05
Vận Tải - Lái xe - Giao nhận / Lao động phổ thông,47,8.605064171808345e-05
CNTT - Phần mềm,47,8.605064171808345e-05
Marketing / Thông tin - Truyền thông - Quảng cáo,45,8.238891228327138e-05
Phi chính phủ/ Phi lợi nhuận,45,8.238891228327138e-05
Biên phiên dịch / Thông dịch viên,43,7.872718284845932e-05
Chăm sóc khách hàng / Bán hàng - Kinh doanh,41,7.506545341364727e-05
Xuất nhập khẩu / Ngoại thương,40,7.323458869624123e-05
Vận chuyển / Giao thông / Kho bãi,40,7.323458869624123e-05
Bán hàng - Kinh doanh / Chăm sóc khách hàng / Giáo dục - Đào tạo,39,7.140372397883521e-05
Hoạch định - Dự án,39,7.140372397883521e-05
Vận hành - Bảo trì - Bảo dưỡng / Điện - Điện tử - Điện lạnh / Cơ khí - Ô tô - Tự động hóa,38,6.957285926142917e-05
Xây dựng / Kiến trúc - Thiết kế nội ngoại thất / Quản lý dự án,35,6.408026510921108e-05
Tổ chức sự kiện - Quà tặng,35,6.408026510921108e-05
Nhà hàng / Dịch vụ ăn uống,34,6.224940039180504e-05
Bán hàng - Kinh doanh / Tài chính - Đầu tư - Chứng Khoán / Chăm sóc khách hàng,33,6.041853567439902e-05
Phiên dịch/ Ngoại ngữ,32,5.858767095699299e-05
Vật tư / Thu mua,32,5.858767095699299e-05
Xây dựng / Quản lý dự án / Kiến trúc - Thiết kế nội ngoại thất,32,5.858767095699299e-05
Bán hàng - Kinh doanh / Bán sỉ - Bán lẻ - Quản lý cửa hàng,31,5.675680623958696e-05
Tài chính - Đầu tư - Chứng Khoán / Ngân hàng / Luật - Pháp Lý - Tuân thủ,30,5.4925941522180925e-05
Đầu tư,29,5.3095076804774894e-05
Bán hàng - Kinh doanh / Bán sỉ - Bán lẻ - Quản lý cửa hàng / Lao động phổ thông,29,5.3095076804774894e-05
Du lịch,29,5.3095076804774894e-05
Khai thác năng lượng - Khoáng sản - Địa chất,28,5.126421208736886e-05
Kiến trúc - Thiết kế nội ngoại thất / Xây dựng / Quản lý dự án,28,5.126421208736886e-05
Vận hành - Bảo trì - Bảo dưỡng / Khoa học - Kỹ thuật / Cơ khí - Ô tô - Tự động hóa,27,4.943334736996283e-05
Hành chính - Thư ký / Bán hàng - Kinh doanh / Chăm sóc khách hàng,26,4.76024826525568e-05
Quản lý điều hành,26,4.76024826525568e-05
Bán sỉ - Bán lẻ - Quản lý cửa hàng / Bán hàng - Kinh doanh / Dệt may - Da giày - Thời trang,26,4.76024826525568e-05
Điện - Điện tử - Điện lạnh / Cơ khí - Ô tô - Tự động hóa / Vận hành - Bảo trì - Bảo dưỡng,26,4.76024826525568e-05
Quản lý chất lượng (QA / QC),26,4.76024826525568e-05
Vận hành - Bảo trì - Bảo dưỡng / Cơ khí - Ô tô - Tự động hóa / Điện - Điện tử - Điện lạnh,26,4.76024826525568e-05
Khách sạn - Nhà hàng - Du lịch / Thực phẩm - Đồ uống / Lao động phổ thông,24,4.394075321774474e-05
Bán hàng - Kinh doanh / Quản lý tiêu chuẩn và chất lượng / Tài chính - Đầu tư - Chứng Khoán,24,4.394075321774474e-05
Bán hàng - Kinh doanh / Chăm sóc khách hàng / Marketing,24,4.394075321774474e-05
Người giúp việc/ Phục vụ/ Tạp vụ,23,4.210988850033871e-05
Dệt may / Da giày,23,4.210988850033871e-05
Khoa học - Kỹ thuật / Điện - Điện tử - Điện lạnh / Cơ khí - Ô tô - Tự động hóa,22,4.027902378293268e-05
Vận hành - Bảo trì - Bảo dưỡng / Điện - Điện tử - Điện lạnh / Khoa học - Kỹ thuật,22,4.027902378293268e-05
Bán sỉ - Bán lẻ - Quản lý cửa hàng / Chăm sóc khách hàng / Bán hàng - Kinh doanh,22,4.027902378293268e-05
Tài chính - Đầu tư - Chứng Khoán / Ngân hàng / Bán hàng - Kinh doanh,22,4.027902378293268e-05
Kiến trúc - Thiết kế nội ngoại thất / Quản lý dự án / Xây dựng,21,3.844815906552665e-05
Marketing / Thông tin - Truyền thông - Quảng cáo / Thiết kế - Sáng tạo nghệ thuật,21,3.844815906552665e-05
Xây dựng / Quản lý dự án,21,3.844815906552665e-05
Vận hành - Bảo trì - Bảo dưỡng / Khoa học - Kỹ thuật / Điện - Điện tử - Điện lạnh,21,3.844815906552665e-05
Xây dựng / Khoa học - Kỹ thuật / Quản lý dự án,21,3.844815906552665e-05
Làm đẹp/ Thể lực/ Spa,21,3.844815906552665e-05
Chăm sóc khách hàng / Bán hàng - Kinh doanh / Hành chính - Thư ký,21,3.844815906552665e-05
Hành chính - Thư ký / Kế toán / Kiểm toán,20,3.661729434812062e-05
Kỹ thuật ứng dụng,20,3.661729434812062e-05
Thu mua - Kho Vận - Chuỗi cung ứng / Xuất Nhập Khẩu,19,3.4786429630714585e-05
Bán hàng - Kinh doanh / Bất động sản / Chăm sóc khách hàng,19,3.4786429630714585e-05
Hóa học - Sinh học,19,3.4786429630714585e-05
Marketing / Bán hàng - Kinh doanh / Chăm sóc khách hàng,19,3.4786429630714585e-05
Xây dựng / Khoa học - Kỹ thuật,19,3.4786429630714585e-05
Sản xuất - Lắp ráp - Chế biến / Vận hành - Bảo trì - Bảo dưỡng / Cơ khí - Ô tô - Tự động hóa,19,3.4786429630714585e-05
Kiến trúc - Thiết kế nội ngoại thất / Xây dựng / Thiết kế - Sáng tạo nghệ thuật,19,3.4786429630714585e-05
Hóa chất / Sinh hóa / Thực phẩm,18,3.2955564913308554e-05
Thiết kế - Sáng tạo nghệ thuật / Kiến trúc - Thiết kế nội ngoại thất / Xây dựng,18,3.2955564913308554e-05
Hành chính - Thư ký / Nhân sự / Kế toán,18,3.2955564913308554e-05
Tài chính - Đầu tư - Chứng Khoán / Ngân hàng / Chăm sóc khách hàng,18,3.2955564913308554e-05
Kế toán / Hành chính - Thư ký / Kiểm toán,18,3.2955564913308554e-05
Kế toán / Tài chính - Đầu tư - Chứng Khoán,17,3.112470019590252e-05
Thu mua - Kho Vận - Chuỗi cung ứng / Kế toán,17,3.112470019590252e-05
Thời trang,17,3.112470019590252e-05
Bán sỉ - Bán lẻ - Quản lý cửa hàng / Bán hàng - Kinh doanh / Lao động phổ thông,17,3.112470019590252e-05
Điện - Điện tử - Điện lạnh / Cơ khí - Ô tô - Tự động hóa / Khoa học - Kỹ thuật,17,3.112470019590252e-05
Kiến trúc - Thiết kế nội ngoại thất / Xây dựng / Khoa học - Kỹ thuật,17,3.112470019590252e-05
IT phần cứng/mạng,17,3.112470019590252e-05
Vận hành - Bảo trì - Bảo dưỡng / Cơ khí - Ô tô - Tự động hóa / Khoa học - Kỹ thuật,17,3.112470019590252e-05
Thu mua - Kho Vận - Chuỗi cung ứng / Lao động phổ thông,17,3.112470019590252e-05
Khách sạn - Nhà hàng - Du lịch / Thực phẩm - Đồ uống,16,2.9293835478496494e-05
Môi trường,16,2.9293835478496494e-05
Thu mua - Kho Vận - Chuỗi cung ứng / Vận Tải - Lái xe - Giao nhận,16,2.9293835478496494e-05
Cơ khí - Ô tô - Tự động hóa,16,2.9293835478496494e-05
Cơ khí - Ô tô - Tự động hóa / Vận hành - Bảo trì - Bảo dưỡng,16,2.9293835478496494e-05
Bán hàng - Kinh doanh / Lao động phổ thông / Tài chính - Đầu tư - Chứng Khoán,16,2.9293835478496494e-05
IT Phần cứng - Mạng / IT Phần mềm,16,2.9293835478496494e-05
Bán sỉ - Bán lẻ - Quản lý cửa hàng / Bán hàng - Kinh doanh / Thực phẩm - Đồ uống,16,2.9293835478496494e-05
Khoa học - Kỹ thuật / Điện - Điện tử - Điện lạnh / Vận hành - Bảo trì - Bảo dưỡng,16,2.9293835478496494e-05
Marketing / Bán hàng - Kinh doanh / Thông tin - Truyền thông - Quảng cáo,16,2.9293835478496494e-05
Thiết kế - Sáng tạo nghệ thuật / Thông tin - Truyền thông - Quảng cáo,15,2.7462970761090463e-05
Kế toán / Thu mua - Kho Vận - Chuỗi cung ứng,15,2.7462970761090463e-05
Khoa học - Kỹ thuật / Cơ khí - Ô tô - Tự động hóa / Vận hành - Bảo trì - Bảo dưỡng,15,2.7462970761090463e-05
Vận hành - Bảo trì - Bảo dưỡng / Cơ khí - Ô tô - Tự động hóa,15,2.7462970761090463e-05
Tài chính - Đầu tư - Chứng Khoán / Chăm sóc khách hàng / Hành chính - Thư ký,15,2.7462970761090463e-05
Sản xuất - Lắp ráp - Chế biến / Vận hành - Bảo trì - Bảo dưỡng,14,2.563210604368443e-05
Sản xuất - Lắp ráp - Chế biến / Cơ khí - Ô tô - Tự động hóa / Vận hành - Bảo trì - Bảo dưỡng,14,2.563210604368443e-05
Bán sỉ - Bán lẻ - Quản lý cửa hàng / Bán hàng - Kinh doanh / Tài chính - Đầu tư - Chứng Khoán,14,2.563210604368443e-05
Cơ khí - Ô tô - Tự động hóa / Khoa học - Kỹ thuật / Vận hành - Bảo trì - Bảo dưỡng,14,2.563210604368443e-05
Kiến trúc - Thiết kế nội ngoại thất / Thiết kế - Sáng tạo nghệ thuật,14,2.563210604368443e-05
Hành chính - Thư ký / Chăm sóc khách hàng / Bán hàng - Kinh doanh,14,2.563210604368443e-05
Bán hàng - Kinh doanh / Tài chính - Đầu tư - Chứng Khoán / Bán sỉ - Bán lẻ - Quản lý cửa hàng,14,2.563210604368443e-05
Hành chính - Thư ký / Nhân sự / Luật - Pháp Lý - Tuân thủ,14,2.563210604368443e-05
Marketing / Xuất Nhập Khẩu,14,2.563210604368443e-05
Hành chính - Thư ký / Kế toán / Nhân sự,14,2.563210604368443e-05
Kế toán / Kiểm toán / Ngân hàng,14,2.563210604368443e-05
Bán hàng - Kinh doanh / Chăm sóc khách hàng / Ngân hàng,14,2.563210604368443e-05
Bán sỉ - Bán lẻ - Quản lý cửa hàng / Bán hàng - Kinh doanh / Marketing,14,2.563210604368443e-05
Sản xuất - Lắp ráp - Chế biến / Vận hành - Bảo trì - Bảo dưỡng / Điện - Điện tử - Điện lạnh,14,2.563210604368443e-05
Xây dựng / Điện - Điện tử - Điện lạnh / Cơ khí - Ô tô - Tự động hóa,14,2.563210604368443e-05
Marketing / Bán hàng - Kinh doanh,14,2.563210604368443e-05
Bán hàng - Kinh doanh / Bán sỉ - Bán lẻ - Quản lý cửa hàng / Thực phẩm - Đồ uống,14,2.563210604368443e-05
Xây dựng / Điện - Điện tử - Điện lạnh,14,2.563210604368443e-05
Kiến trúc,14,2.563210604368443e-05
Hành chính - Thư ký / Chăm sóc khách hàng / Kế toán,14,2.563210604368443e-05
Xây dựng / Quản lý dự án / Khoa học - Kỹ thuật,14,2.563210604368443e-05
Bán sỉ - Bán lẻ - Quản lý cửa hàng / Marketing / Bán hàng - Kinh doanh,13,2.38012413262784e-05
Thu mua - Kho Vận - Chuỗi cung ứng / Vận Tải - Lái xe - Giao nhận / Lao động phổ thông,13,2.38012413262784e-05
Xây dựng / Quản lý dự án / Quản lý tiêu chuẩn và chất lượng,13,2.38012413262784e-05
Khoa học - Kỹ thuật / Vận hành - Bảo trì - Bảo dưỡng,13,2.38012413262784e-05
Khách sạn - Nhà hàng - Du lịch / Lao động phổ thông / Thực phẩm - Đồ uống,13,2.38012413262784e-05
Xây dựng / Kiến trúc - Thiết kế nội ngoại thất / Khoa học - Kỹ thuật,13,2.38012413262784e-05
Kế toán / Kiểm toán / Thu mua - Kho Vận - Chuỗi cung ứng,13,2.38012413262784e-05
Kế toán / Hành chính - Thư ký,13,2.38012413262784e-05
Pháp lý / Luật,13,2.38012413262784e-05
Bán hàng - Kinh doanh / Marketing / Chăm sóc khách hàng,13,2.38012413262784e-05
Khách sạn - Nhà hàng - Du lịch / Bán hàng - Kinh doanh / Chăm sóc khách hàng,13,2.38012413262784e-05
Bán sỉ - Bán lẻ - Quản lý cửa hàng / Bán hàng - Kinh doanh / Nghề nghiệp khác,12,2.197037660887237e-05
Điện - Điện tử - Điện lạnh / Cơ khí - Ô tô - Tự động hóa / Xây dựng,12,2.197037660887237e-05
Bán hàng - Kinh doanh / Chăm sóc khách hàng / Tài chính - Đầu tư - Chứng Khoán,12,2.197037660887237e-05
Nhân sự / Hành chính - Thư ký / Luật - Pháp Lý - Tuân thủ,12,2.197037660887237e-05
Vận hành - Bảo trì - Bảo dưỡng / Điện - Điện tử - Điện lạnh,12,2.197037660887237e-05
Quản lý dự án / Xây dựng / Kiến trúc - Thiết kế nội ngoại thất,12,2.197037660887237e-05
Hành chính - Thư ký / Chăm sóc khách hàng,12,2.197037660887237e-05
Bán lẻ / Bán sỉ,12,2.197037660887237e-05
Bán hàng - Kinh doanh / Cơ khí - Ô tô - Tự động hóa / Bán sỉ - Bán lẻ - Quản lý cửa hàng,12,2.197037660887237e-05
Môi trường / Xử lý chất thải,12,2.197037660887237e-05
Vận hành - Bảo trì - Bảo dưỡng / Cơ khí - Ô tô - Tự động hóa / Sản xuất - Lắp ráp - Chế biến,12,2.197037660887237e-05
Khách sạn - Nhà hàng - Du lịch / Chăm sóc khách hàng,12,2.197037660887237e-05
Quản lý dự án / Bán hàng - Kinh doanh,12,2.197037660887237e-05
Ngân hàng / Chăm sóc khách hàng / Bán hàng - Kinh doanh,12,2.197037660887237e-05
Biên phiên dịch,11,2.013951189146634e-05
Xuất Nhập Khẩu / Bán hàng - Kinh doanh,11,2.013951189146634e-05
Vận Tải - Lái xe - Giao nhận / Lao động phổ thông / Thu mua - Kho Vận - Chuỗi cung ứng,11,2.013951189146634e-05
Bán hàng - Kinh doanh / Marketing,11,2.013951189146634e-05
Cơ khí - Ô tô - Tự động hóa / Điện - Điện tử - Điện lạnh / Khoa học - Kỹ thuật,11,2.013951189146634e-05
Bán hàng - Kinh doanh / Chăm sóc khách hàng / Khách sạn - Nhà hàng - Du lịch,11,2.013951189146634e-05
Điện - Điện tử - Điện lạnh / Vận hành - Bảo trì - Bảo dưỡng / Cơ khí - Ô tô - Tự động hóa,11,2.013951189146634e-05
Dệt may - Da giày,11,2.013951189146634e-05
Bảo trì / Sửa chữa,11,2.013951189146634e-05
Vận hành - Bảo trì - Bảo dưỡng / Cơ khí - Ô tô - Tự động hóa / Lao động phổ thông,11,2.013951189146634e-05
Kiến trúc - Thiết kế nội ngoại thất / Xây dựng / Bất động sản,11,2.013951189146634e-05
Khách sạn - Nhà hàng - Du lịch / Bán sỉ - Bán lẻ - Quản lý cửa hàng / Thực phẩm - Đồ uống,11,2.013951189146634e-05
Bảo vệ/ An ninh/ Vệ sỹ,11,2.013951189146634e-05
Điện - Điện tử - Điện lạnh / Khoa học - Kỹ thuật,10,1.830864717406031e-05
Xây dựng / Khoa học - Kỹ thuật / Kiến trúc - Thiết kế nội ngoại thất,10,1.830864717406031e-05
Thiết kế - Sáng tạo nghệ thuật / Thông tin - Truyền thông - Quảng cáo / Truyền hình - Báo chí - Biên tập,10,1.830864717406031e-05
Kế toán / Xây dựng,10,1.830864717406031e-05
Vận hành - Bảo trì - Bảo dưỡng / Xây dựng / Điện - Điện tử - Điện lạnh,10,1.830864717406031e-05
IT Phần mềm / IT Phần cứng - Mạng,10,1.830864717406031e-05
Bán hàng - Kinh doanh / Hành chính - Thư ký / Chăm sóc khách hàng,10,1.830864717406031e-05
Mới tốt nghiệp / Thực tập,10,1.830864717406031e-05
Điện - Điện tử - Điện lạnh / Khoa học - Kỹ thuật / Vận hành - Bảo trì - Bảo dưỡng,10,1.830864717406031e-05
Thiết kế - Sáng tạo nghệ thuật / Thông tin - Truyền thông - Quảng cáo / Marketing,10,1.830864717406031e-05
Kế toán / Kiểm toán / Phân tích - Thống kê dữ liệu,9,1.6477782456654277e-05
Kế toán / Kiểm toán / Luật - Pháp Lý - Tuân thủ,9,1.6477782456654277e-05
Sản xuất - Lắp ráp - Chế biến / Vận hành - Bảo trì - Bảo dưỡng / Lao động phổ thông,9,1.6477782456654277e-05
Hành chính - Thư ký / Nhân sự / Chăm sóc khách hàng,9,1.6477782456654277e-05
An toàn lao động,9,1.6477782456654277e-05
Nhân sự / Nghề nghiệp khác,9,1.6477782456654277e-05
Bán hàng - Kinh doanh / Chăm sóc khách hàng / Bất động sản,9,1.6477782456654277e-05
Khách sạn - Nhà hàng - Du lịch / Bán hàng - Kinh doanh,9,1.6477782456654277e-05
Nhân sự / Hành chính - Thư ký / Kế toán,9,1.6477782456654277e-05
Bán sỉ - Bán lẻ - Quản lý cửa hàng / Bán hàng - Kinh doanh / Y tế - Chăm sóc sức khỏe,9,1.6477782456654277e-05
Khoa học - Kỹ thuật / Cơ khí - Ô tô - Tự động hóa / Điện - Điện tử - Điện lạnh,9,1.6477782456654277e-05
Khách sạn - Nhà hàng - Du lịch / Chăm sóc khách hàng / Hành chính - Thư ký,9,1.6477782456654277e-05
Sản xuất - Lắp ráp - Chế biến / Lao động phổ thông,9,1.6477782456654277e-05
Y tế - Chăm sóc sức khỏe / Dược phẩm,9,1.6477782456654277e-05
Xây dựng / Điện - Điện tử - Điện lạnh / Khoa học - Kỹ thuật,9,1.6477782456654277e-05
Sản xuất - Lắp ráp - Chế biến / Cơ khí - Ô tô - Tự động hóa,9,1.6477782456654277e-05
Kế toán / Kiểm toán / Nhân sự,9,1.6477782456654277e-05
Bán hàng - Kinh doanh / Y tế - Chăm sóc sức khỏe / Dược phẩm,9,1.6477782456654277e-05
Cơ khí - Ô tô - Tự động hóa / Sản xuất - Lắp ráp - Chế biến / Vận hành - Bảo trì - Bảo dưỡng,9,1.6477782456654277e-05
Bán hàng - Kinh doanh / Bán sỉ - Bán lẻ - Quản lý cửa hàng / Marketing,9,1.6477782456654277e-05
Bán hàng - Kinh doanh / Chăm sóc khách hàng / Xuất Nhập Khẩu,9,1.6477782456654277e-05
Chăm sóc khách hàng / Bán hàng - Kinh doanh / Bán sỉ - Bán lẻ - Quản lý cửa hàng,9,1.6477782456654277e-05
Bán hàng - Kinh doanh / Cơ khí - Ô tô - Tự động hóa / Chăm sóc khách hàng,9,1.6477782456654277e-05
Cơ khí - Ô tô - Tự động hóa / Vận hành - Bảo trì - Bảo dưỡng / Khoa học - Kỹ thuật,9,1.6477782456654277e-05
Luật - Pháp Lý - Tuân thủ / Hành chính - Thư ký,8,1.4646917739248247e-05
Thu mua - Kho Vận - Chuỗi cung ứng / Lao động phổ thông / Vận Tải - Lái xe - Giao nhận,8,1.4646917739248247e-05
Khách sạn - Nhà hàng - Du lịch / Lao động phổ thông,8,1.4646917739248247e-05
Vận Tải - Lái xe - Giao nhận / Lao động phổ thông / Nghề nghiệp khác,8,1.4646917739248247e-05
Bán hàng - Kinh doanh / Thông tin - Truyền thông - Quảng cáo / Chăm sóc khách hàng,8,1.4646917739248247e-05
Bán hàng - Kinh doanh / Xuất Nhập Khẩu,8,1.4646917739248247e-05
Khoa học - Kỹ thuật / Cơ khí - Ô tô - Tự động hóa,8,1.4646917739248247e-05
Khách sạn - Nhà hàng - Du lịch / Bán sỉ - Bán lẻ - Quản lý cửa hàng / Bán hàng - Kinh doanh,8,1.4646917739248247e-05
Kế toán / Nhân sự,8,1.4646917739248247e-05
Khách sạn - Nhà hàng - Du lịch / Thực phẩm - Đồ uống / Nghề nghiệp khác,8,1.4646917739248247e-05
Điện - Điện tử - Điện lạnh / Cơ khí - Ô tô - Tự động hóa,8,1.4646917739248247e-05
Khoa học - Kỹ thuật / Vận hành - Bảo trì - Bảo dưỡng / Điện - Điện tử - Điện lạnh,8,1.4646917739248247e-05
Thiết kế - Sáng tạo nghệ thuật / Marketing,8,1.4646917739248247e-05
Biên phiên dịch / Hành chính - Thư ký,8,1.4646917739248247e-05
Bán hàng - Kinh doanh / Điện - Điện tử - Điện lạnh / Khoa học - Kỹ thuật,8,1.4646917739248247e-05
Thực phẩm - Đồ uống / Lao động phổ thông / Khách sạn - Nhà hàng - Du lịch,8,1.4646917739248247e-05
Marketing / Chăm sóc khách hàng / Bán hàng - Kinh doanh,8,1.4646917739248247e-05
Bán hàng - Kinh doanh / Dệt may - Da giày - Thời trang,8,1.4646917739248247e-05
Dược phẩm,8,1.4646917739248247e-05
Bán sỉ - Bán lẻ - Quản lý cửa hàng / Bán hàng - Kinh doanh / Quản lý tiêu chuẩn và chất lượng,8,1.4646917739248247e-05
